POINT (-73.99830945266433 40.725957090505986),235402,09/18/2015 12:00:00 AM +0000,101374,6,0,OnCurb,Alive,Fair,Fraxinus pennsylvanica,Green Ash,None,None,NoDamage,Volunteer,No,No,No,No,No,No,No,No,No,150 GREENE STREET,10012,New York,102,1,Manhattan,1,66,26,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1004900,New York,40.7259570905,-73.9983094527,984718.573854,203762.299546,
POINT (-74.0014255635476 40.72933835330155),144887,08/14/2015 12:00:00 AM +0000,101639,11,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,1or2,None,NoDamage,Volunteer,Yes,No,No,No,No,No,No,No,No,193 BLEECKER STREET,10012,New York,102,1,Manhattan,1,66,27,MN23,West Village,1006500,New York,40.7293383533,-74.0014255635,983854.892511,204994.197345,
POINT (-74.00172037360717 40.72948285118303),144889,08/14/2015 12:00:00 AM +0000,101639,11,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,3or4,Helpful,Damage,Volunteer,No,No,No,No,No,No,No,No,Yes,203 BLEECKER STREET,10012,New York,102,1,Manhattan,1,66,27,MN23,West Village,1006500,New York,40.7294828512,-74.0017203736,983773.184341,205046.843893,
POINT (-74.00179528878452 40.72951957007685),144890,08/14/2015 12:00:00 AM +0000,101639,9,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,1or2,Harmful,NoDamage,Volunteer,No,No,Yes,No,No,No,No,No,No,203 BLEECKER STREET,10012,New York,102,1,Manhattan,1,66,27,MN23,West Village,1006500,New York,40.7295195701,-74.0017952888,983752.421259,205060.222147,
POINT (-73.99850391175491 40.730553603040526),30446,06/22/2015 12:00:00 AM +0000,101701,4,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,1or2,None,NoDamage,TreesCount Staff,No,No,No,No,No,No,No,No,No,52 WASHINGTON SQUARE SOUTH,10011,New York,102,1,Manhattan,1,66,27,MN23,West Village,1006500,New York,40.730553603,-73.9985039118,984664.646468,205436.951052,
POINT (-73.99948127596973 40.73110521890838),30475,06/22/2015 12:00:00 AM +0000,101700,3,0,OnCurb,Alive,Fair,Fraxinus pennsylvanica,Green Ash,1or2,None,Damage,TreesCount Staff,No,No,Yes,No,No,Yes,No,No,No,37 WASHINGTON SQUARE WEST,10011,New York,102,1,Manhattan,1,66,27,MN23,West Village,1006500,New York,40.7311052189,-73.999481276,984393.76512,205637.918826,
POINT (-73.99927426168908 40.731349206023246),30477,06/22/2015 12:00:00 AM +0000,101700,12,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,1or2,None,Damage,TreesCount Staff,No,No,No,No,No,No,No,No,No,35 WASHINGTON SQUARE WEST,10011,New York,102,1,Manhattan,1,66,27,MN23,West Village,1006500,New York,40.731349206,-73.9992742617,984451.138693,205726.811365,
POINT (-73.99871269282336 40.73201106029864),30482,06/22/2015 12:00:00 AM +0000,101700,5,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,1or2,None,Damage,TreesCount Staff,Yes,No,No,No,No,No,No,No,No,30 WASHINGTON SQUARE WEST,10011,New York,102,1,Manhattan,1,66,27,MN23,West Village,1006500,New York,40.7320110603,-73.9987126928,984606.774209,205967.947366,
POINT (-73.99515307106479 40.73257755354901),30612,06/22/2015 12:00:00 AM +0000,101842,10,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,3or4,Harmful,Damage,TreesCount Staff,Yes,No,No,No,No,No,No,No,No,9 EAST  9 STREET,10003,New York,102,1,Manhattan,2,66,27,MN23,West Village,1005900,New York,40.7325775535,-73.9951530711,985593.303732,206174.373134,
POINT (-73.99427537288445 40.733753517413476),73090,07/16/2015 12:00:00 AM +0000,101944,7,0,OnCurb,Alive,Fair,Fraxinus pennsylvanica,Green Ash,3or4,Harmful,Damage,Volunteer,No,No,No,No,No,No,No,No,No,15 EAST  11 STREET,10003,New York,102,1,Manhattan,2,66,27,MN23,West Village,1006100,New York,40.7337535174,-73.9942753729,985836.525686,206602.828314,
POINT (-74.0038141280457 40.72480169291584),432192,11/05/2015 12:00:00 AM +0000,101337,8,0,OnCurb,Alive,Poor,Fraxinus pennsylvanica,Green Ash,None,None,NoDamage,TreesCount Staff,No,No,No,No,No,No,No,No,No,81 SULLIVAN STREET,10012,New York,102,1,Manhattan,3,66,26,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1004700,New York,40.7248016929,-74.003814128,983192.808861,203341.370926,
